"Advisory Date","Hours UTC","Record Identifier","Status of system","Latitude","Longitude","Maximum sustained wind"
"19640822","1700","L","MH","15.9N","61.3W",110
"19640822","1800","L","MH","16.0N","61.6W",110
"19640824","2000","L","MH","18.2N","73.7W",130
"19640825","1700","L","HU","19.9N","77.4W",70
"19640826","700","L","HU","21.6N","79.0W",70
"19640827","800","L","HU","25.8N","80.1W",95
"19640829","400","L","TS","31.2N","81.3W",50
"19640910","600","L","HU","29.9N","81.3W",95
"19640929","1100","L","TS","21.9N","84.0W",35
"19641003","2300","L","HU","29.5N","91.5W",90
"19641013","1900","L","HU","21.7N","84.5W",85
"19641014","2100","L","HU","25.8N","81.4W",90
"19641016","1300","L","TS","34.7N","76.7W",60
"19641107","1000","L","TS","14.6N","83.3W",60
"19650615","1100","L","TS","30.4N","86.9W",50
"19650829","800","L","TS","17.9N","62.9W",35
"19650829","900","L","TS","18.2N","63.0W",35
"19650907","2000","L","MH","25.3N","78.1W",105
"19650908","1100","L","MH","25.0N","80.5W",100
"19650910","400","L","MH","29.2N","90.1W",115
"19650929","2000","L","TS","29.1N","90.2W",35
"19651018","1500","L","TS","29.4N","81.1W",55
"19660608","800","L","HU","21.5N","82.9W",85
"19660608","1200","L","HU","22.7N","82.7W",90
"19660609","2100","L","HU","30.1N","84.2W",75
"19660927","1700","L","MH","16.2N","61.6W",110
"19660929","1400","L","MH","17.7N","71.4W",140
"19660929","1900","L","MH","18.2N","72.6W",100
"19660930","1400","L","MH","20.0N","75.7W",100
"19661001","1500","L","HU","21.6N","79.5W",65
"19661004","1800","L","HU","25.0N","80.5W",85
"19661004","2300","L","HU","24.7N","81.3W",85
"19661005","200","L","HU","24.6N","81.8W",85
"19661010","1200","L","MH","22.8N","97.8W",100
"19660929","2200","L","TS","13.8N","60.9W",40
"19660629","1400","L","TS","22.7N","82.5W",35
"19660701","2200","L","TS","29.3N","83.1W",40
"19670618","200","L","TS","33.9N","78.3W",35
"19670907","1400","L","TS","14.0N","60.9W",35
"19670917","300","L","MH","20.5N","86.8W",110
"19670917","500","L","MH","20.5N","87.3W",110
"19670920","1200","L","MH","25.9N","97.2W",110
"19670917","0","L","TS","36.5N","75.9W",50
"19671004","800","L","TS","22.6N","97.9W",50
"19680602","2300","L","TS","21.9N","84.5W",45
"19680604","1200","L","TS","26.7N","82.3W",55
"19680606","2200","L","TS","30.4N","81.4W",55
"19680623","2230","L","TS","27.8N","97.1W",60
"19681016","1500","L","TS","22.2N","83.4W",55
"19681019","400","L","HU","28.7N","82.7W",85
"19680911","1000","L","TS","40.6N","73.3W",55
"19690815","2200","L","HU","21.9N","84.3W",95
"19690818","400","L","MH","30.3N","89.4W",150
"19690903","2100","L","HU","16.2N","88.8W",85
"19690910","100","L","HU","44.7N","67.3W",70
"19691001","1600","L","SS","30.4N","86.8W",40
"19691002","2100","L","TS","26.1N","81.8W",40
"19691124","1800","L","TS","8.8N","81.1W",40
"19700722","1000","L","TS","29.7N","85.3W",40
"19700801","0","L","TS","21.9N","84.3W",35
"19700803","2100","L","MH","27.8N","97.1W",120
"19700817","1100","L","TS","34.7N","76.7W",50
"19700817","1700","L","TS","35.6N","75.5W",55
"19700820","1900","L","TS","14.5N","60.8W",60
"19700910","930","L","TS","20.5N","87.3W",40
"19700912","1000","L","MH","23.9N","97.7W",110
"19700916","200","L","TS","29.5N","94.5W",60
"19830818","700","L","MH","29.1N","95.1W",100
"19830825","1100","L","TD","27.9N","80.6W",30
"19830828","1725","L","HU","25.4N","97.4W",70
"19840913","700","L","HU","33.9N","78.0W",80
"19850725","300","L","HU","32.2N","80.5W",65
"19850815","1630","L","HU","29.6N","92.7W",80
"19850902","1300","L","MH","30.4N","89.2W",100
"19850927","530","L","HU","35.2N","75.6W",90
"19850927","1600","L","HU","40.6N","73.3W",75
"19850924","2100","L","TS","40.8N","72.5W",35
"19850925","0","L","TD","41.3N","71.8W",30
"19851010","2100","L","TS","30.6N","81.4W",35
"19851029","1100","L","HU","29.5N","91.4W",65
"19851121","2230","L","HU","30.0N","85.4W",85
"19860626","1000","L","HU","29.6N","94.2W",75
"19860817","1400","L","HU","34.7N","76.5W",65
"19870810","600","L","TS","29.5N","94.5W",40
"19870923","300","L","HU","18.3N","71.0W",95
"19870925","1145","L","HU","32.3N","64.7W",75
"19871012","2100","L","HU","25.1N","80.5W",65
"19880828","1500","L","TS","32.0N","80.9W",40
"19880903","0","L","HU","20.7N","97.3W",65
"19880910","200","L","HU","29.1N","89.3W",70
"19880912","1700","L","MH","17.8N","76.8W",115
"19880914","1500","L","MH","20.7N","87.0W",140
"19880916","2200","L","MH","24.2N","97.8W",110
"19881015","100","L","TS","12.1N","61.8W",45
"19881017","600","L","TS","12.0N","71.2W",55
"19881022","1000","L","MH","11.9N","83.7W",125
"19881121","800","L","TS","21.2N","86.8W",60
"19881123","700","L","TS","27.3N","82.6W",55
"19890626","1300","L","TS","28.7N","95.7W",40
"19890801","1300","L","HU","29.6N","94.4W",70
"19890808","1300","L","TS","46.9N","55.9W",55
"19890917","500","L","MH","16.3N","61.3W",120
"19890918","600","L","MH","17.7N","64.8W",120
"19890918","1200","L","MH","18.2N","65.5W",110
"19890918","1300","L","MH","18.3N","65.6W",110
"19890922","400","L","MH","32.8N","79.8W",120
"19891016","30","L","HU","29.2N","95.0W",75
"19900805","2000","L","TS","19.0N","87.6W",55
"19900807","1900","L","HU","20.9N","97.0W",85
"19910819","1720","L","HU","41.2N","71.6W",90
"19910819","1800","L","HU","41.4N","71.4W",85
"19910820","130","L","TS","44.1N","69.1W",60
"19910912","300","L","TS","37.7N","25.9W",35
"19911015","2100","L","TS","21.5N","82.8W",40
"19911016","0","L","TS","22.4N","81.8W",40
"19911102","1400","L","TS","44.6N","63.5W",45
"19920823","2100","L","MH","25.4N","76.6W",140
"19920824","100","L","MH","25.4N","77.8W",130
"19920824","840","L","MH","25.5N","80.2W",145
"19920824","905","L","MH","25.5N","80.3W",145
"19920826","830","L","MH","29.6N","91.5W",100
"19920925","2200","L","TS","37.8N","75.5W",55
"19930620","900","L","TS","27.1N","97.4W",35
"19930807","700","L","TS","10.8N","60.8W",50
"19930807","1000","L","TS","10.8N","61.8W",50
"19930808","800","L","TS","11.0N","68.3W",40
"19930810","1700","L","TS","11.1N","83.8W",40
"19930814","1800","L","TS","14.5N","60.9W",35
"19930816","2100","L","TD","18.3N","71.0W",30
"19930915","1800","L","TS","11.8N","83.8W",35
"19930918","0","L","TS","17.3N","88.1W",35
"19930920","2100","L","HU","21.2N","97.5W",85
"19940703","1500","L","TS","30.4N","86.5W",55
"19940720","1400","L","TD","33.2N","79.2W",30
"19940816","0","L","TS","30.0N","85.6W",50
"19940831","600","L","TD","22.4N","98.0W",30
"19940910","300","L","TS","14.0N","61.0W",55
"19940925","1800","L","TD","16.6N","88.4W",30
"19941110","600","L","TD","14.0N","83.4W",30
"19941113","300","L","TS","17.9N","76.8W",35
"19941113","1300","L","TS","20.0N","74.9W",40
"19941115","1300","L","TS","24.6N","81.7W",45
"19941116","1300","L","TS","26.5N","81.9W",45
"19941121","300","L","TD","28.5N","80.6W",25
"19950605","1400","L","TS","29.9N","84.4W",60
"19950605","1500","L","TS","30.1N","84.2W",55
"19950709","2130","L","TS","45.3N","61.0W",50
"19950709","2200","L","TS","45.6N","60.8W",45
"19950731","200","L","TS","29.2N","95.3W",40
"19950802","615","L","HU","27.7N","80.3W",75
"19950803","1600","L","HU","30.3N","87.2W",75
"19950806","2300","L","TD","21.5N","97.4W",30
"19950811","2000","L","TS","23.7N","97.8W",60
"19950827","1800","L","TS","17.0N","61.9W",50
"19950827","2300","L","TS","17.7N","62.0W",55
"19950823","1800","L","TS","27.0N","80.2W",35
"19950914","2100","L","HU","15.5N","61.3W",70
"19951004","2200","L","MH","30.3N","87.1W",100
"19951011","200","L","MH","20.0N","87.6W",100
"19960620","0","L","TS","34.7N","76.4W",35
"19960712","2000","L","HU","34.3N","77.8W",90
"19960728","400","L","HU","12.2N","83.9W",75
"19960820","1730","L","HU","19.1N","87.7W",65
"19960823","1200","L","HU","21.6N","97.7W",70
"19960906","30","L","MH","33.9N","78.0W",100
"19960910","600","L","HU","18.0N","66.9W",70
"19960915","300","L","HU","44.8N","62.5W",70
"19961008","330","L","TS","30.0N","83.9W",60
"19961012","1200","L","TD","16.0N","88.1W",30
"19961018","930","L","HU","22.3N","82.0W",85
"19970718","900","L","HU","29.3N","89.7W",65
"19970719","1000","L","HU","30.2N","88.1W",70
"19970719","1800","L","HU","30.4N","87.9W",65
"19980827","400","L","HU","34.4N","77.7W",95
"19980822","1000","L","TS","27.8N","97.1W",40
"19980903","600","L","HU","30.1N","85.7W",70
"19980911","600","L","TS","28.2N","96.9W",45
"19980921","430","L","MH","17.0N","61.7W",100
"19980921","800","L","MH","17.2N","62.6W",100
"19980921","2200","L","MH","18.1N","65.8W",100
"19980922","1230","L","MH","18.2N","68.7W",105
"19980923","2130","L","HU","20.1N","74.5W",65
"19980925","1530","L","HU","24.5N","81.8W",90
"19980928","1130","L","HU","30.4N","88.9W",90
"19980920","500","L","TS","29.1N","90.9W",35
"19981029","1200","L","HU","15.9N","85.7W",70
"19981104","200","L","TS","20.1N","90.5W",35
"19981105","1100","L","TS","26.2N","81.9W",55
"19990703","400","L","TD","20.5N","97.0W",30
"19990823","0","L","MH","26.9N","97.4W",100
"19990828","700","L","HU","26.6N","76.8W",75
"19990904","2100","L","TS","34.8N","76.5W",60
"19990906","1200","L","TD","23.2N","97.7W",30
"19990914","1200","L","MH","25.4N","76.3W",105
"19990914","1900","L","MH","26.3N","77.1W",110
"19990916","630","L","HU","33.8N","78.0W",90
"19990921","1700","L","TS","25.9N","81.7W",50
"19991014","1200","L","TS","21.3N","82.9W",60
"19991014","1900","L","TS","22.7N","82.5W",60
"19991015","1300","L","HU","24.6N","81.6W",65
"19991015","2000","L","HU","25.3N","81.1W",70
"19991020","1600","L","HU","17.1N","61.7W",80
"19991021","1105","L","TS","18.4N","64.6W",60
"19991030","0","L","TS","13.8N","83.4W",35
"19991117","1800","L","MH","17.4N","64.8W",135
"19991118","1800","L","MH","18.0N","63.3W",110
"19991119","0","L","HU","18.1N","63.1W",85
"19991119","600","L","HU","18.0N","62.9W",75
"19991120","0","L","TS","17.3N","61.8W",55
"20000822","600","L","HU","17.5N","61.7W",65
"20000822","915","L","HU","17.9N","62.8W",65
"20000822","1500","L","HU","18.5N","64.4W",65
"20000909","1000","L","TD","29.9N","93.9W",25
"20000918","300","L","TS","29.3N","83.2W",55
"20000922","1200","L","TS","30.5N","86.6W",35
"20001002","2300","L","HU","17.9N","88.0W",65
"20001003","300","L","TS","17.9N","88.2W",60
"20001005","1800","L","HU","22.6N","97.9W",80
"20010605","2100","L","TS","28.9N","95.3W",45
"20010611","200","L","SD","29.6N","91.6W",30
"20010806","500","L","TS","30.4N","86.3W",60
"20010821","200","L","TS","18.1N","87.8W",60
"20010914","1200","L","TS","27.1N","82.6W",60
"20010920","0","L","TD","13.9N","83.5W",30
"20011009","200","L","MH","16.3N","88.4W",125
"20011015","1200","L","TS","44.2N","64.8W",40
"20011104","1800","L","MH","21.5N","81.8W",120
"20011104","2300","L","MH","22.1N","81.2W",115
"20011105","1200","L","HU","24.3N","78.0W",80
"20011105","1800","L","HU","25.4N","76.4W",75
"20020805","200","L","TS","29.4N","89.3W",35
"20020809","800","L","TD","27.3N","97.4W",20
"20020905","45","L","TS","29.4N","81.1W",35
"20020907","900","L","TS","28.5N","96.3W",50
"20020912","430","L","HU","45.6N","60.4W",80
"20020912","900","L","HU","47.6N","58.6W",65
"20020914","800","L","TS","29.1N","89.1W",50
"20020914","1500","L","TS","30.4N","88.4W",50
"20020920","2100","L","HU","22.0N","84.1W",75
"20020922","2100","L","MH","21.3N","89.3W",110
"20020926","600","L","TS","29.1N","90.3W",55
"20021011","1700","L","TS","33.0N","79.5W",35
"20021011","2200","L","TS","33.9N","78.4W",35
"20020930","1400","L","HU","19.7N","79.8W",65
"20021001","1100","L","HU","21.3N","83.0W",90
"20021001","1400","L","HU","22.1N","84.0W",90
"20021003","1300","L","HU","29.5N","92.2W",80
"20021016","1600","L","TD","22.0N","80.7W",25
"20030630","1900","L","TS","29.3N","91.0W",50
"20030711","1000","L","TS","20.8N","86.9W",50
"20030715","1530","L","HU","28.3N","96.2W",80
"20030726","600","L","TD","31.5N","81.3W",25
"20030816","1030","L","HU","25.3N","97.4W",65
"20030831","1100","L","TS","29.0N","95.1W",35
"20030906","900","L","TD","27.9N","82.8W",30
"20030918","1700","L","HU","34.9N","76.2W",90
"20030929","300","L","HU","44.4N","63.8W",85
"20031005","1000","L","TS","18.4N","93.5W",50
"20031206","2300","L","TS","17.8N","71.5W",50
"20040812","1400","L","TS","29.6N","85.1W",40
"20040813","430","L","MH","22.7N","82.6W",105
"20040813","1945","L","MH","26.6N","82.2W",130
"20040813","2045","L","MH","26.9N","82.1W",125
"20040814","1400","L","HU","33.0N","79.4W",70
"20040814","1600","L","HU","33.8N","78.7W",65
"20040902","1930","L","MH","24.0N","74.5W",110
"20040903","530","L","MH","24.6N","75.6W",100
"20040903","1000","L","HU","25.1N","76.1W",95
"20040904","1000","L","HU","26.6N","78.2W",90
"20040905","430","L","HU","27.2N","80.2W",90
"20040906","1800","L","TS","30.1N","84.0W",50
"20040829","1400","L","HU","33.0N","79.6W",65
"20040831","600","L","TS","41.5N","70.9W",35
"20040916","650","L","MH","30.2N","87.9W",105
"20040924","200","L","TD","29.8N","93.6W",30
"20040914","400","L","TD","16.2N","61.3W",30
"20040915","1600","L","TS","18.0N","66.0W",60
"20040916","1100","L","HU","18.6N","68.3W",70
"20040925","1400","L","MH","26.7N","77.3W",100
"20040926","400","L","MH","27.2N","80.2W",105
"20041010","1100","L","TS","29.2N","91.0W",35
"20050610","800","L","TS","21.8N","84.5W",45
"20050611","1900","L","TS","30.3N","87.5W",50
"20050629","1200","L","TS","20.8N","97.3W",35
"20050704","330","L","TD","19.0N","87.6W",30
"20050706","300","L","HU","29.2N","90.1W",65
"20050706","900","L","TS","30.2N","89.5W",45
"20050704","2100","L","TD","12.1N","61.6W",30
"20050708","245","L","MH","19.9N","77.6W",120
"20050708","1845","L","MH","22.1N","80.7W",120
"20050710","1930","L","MH","30.4N","87.1W",105
"20050714","700","L","HU","12.0N","61.8W",75
"20050718","630","L","MH","20.3N","87.4W",115
"20050720","1200","L","MH","24.8N","97.6W",110
"20050725","0","L","TS","21.8N","97.6W",40
"20050823","330","L","TS","19.7N","96.4W",50
"20050825","2230","L","HU","26.0N","80.1W",70
"20050829","1110","L","MH","29.3N","89.6W",110
"20050829","1445","L","MH","30.2N","89.6W",105
"20050906","1600","L","TD","26.6N","78.3W",25
"20050924","740","L","MH","29.7N","93.7W",100
"20051002","1000","L","TS","19.6N","87.5W",35
"20051004","1200","L","HU","18.6N","94.9W",70
"20051005","2300","L","TS","30.4N","81.4W",45
"20051011","900","L","TD","37.2N","7.1W",30
"20051021","2145","L","MH","20.6N","86.8W",130
"20051022","330","L","MH","20.8N","86.9W",115
"20051024","1030","L","MH","25.9N","81.7W",105
"20051023","1000","L","TS","18.3N","71.3W",45
"20051030","1200","L","HU","12.9N","83.5W",90
"20060613","1630","L","TS","29.9N","83.7W",40
"20060721","645","L","TS","41.3N","70.1W",45
"20060828","1115","L","TS","19.9N","75.5W",35
"20060830","300","L","TS","24.9N","80.6W",40
"20060830","500","L","TS","25.2N","80.7W",40
"20060901","340","L","TS","33.9N","78.1W",60
"20070602","1400","L","TD","27.5N","82.7W",30
"20070821","830","L","MH","18.7N","87.7W",150
"20070822","1630","L","HU","20.5N","97.0W",85
"20070816","1030","L","TD","28.0N","96.9W",30
"20070901","845","L","TS","12.1N","61.7W",45
"20070904","1200","L","MH","14.3N","83.2W",140
"20070909","1530","L","TS","34.8N","76.4W",50
"20070913","700","L","HU","29.6N","94.3W",80
"20070922","0","L","TD","30.4N","86.7W",25
"20070928","500","L","HU","20.5N","97.0W",65
"20071029","700","L","TS","18.1N","72.5W",45
"20071030","600","L","TS","21.1N","75.8W",50
"20071101","1315","L","TS","24.1N","77.9W",50
"20071101","1745","L","TS","25.0N","77.4W",55
"20071211","700","L","SS","18.4N","66.5W",40
"20071211","1800","L","TS","18.5N","68.4W",50
"20080531","900","L","TS","17.9N","88.2W",40
"20080721","530","L","TS","20.8N","87.0W",45
"20080723","1820","L","HU","26.4N","97.2W",75
"20080723","2000","L","HU","26.4N","97.4W",70
"20080805","1200","L","TS","29.6N","94.2W",55
"20080815","1430","L","TS","18.5N","68.4W",35
"20080816","1145","L","TS","18.8N","72.8W",40
"20080817","900","L","TS","19.9N","77.4W",45
"20080818","700","L","TS","22.1N","80.8W",45
"20080818","2030","L","TS","24.5N","81.8W",50
"20080819","845","L","TS","25.9N","81.6W",55
"20080821","1900","L","TS","29.3N","81.1W",55
"20080823","615","L","TS","29.8N","84.7W",45
"20080826","1800","L","HU","18.1N","72.8W",70
"20080828","1800","L","TS","18.0N","76.2W",60
"20080829","200","L","TS","17.9N","77.2W",60
"20080830","1800","L","MH","21.6N","82.5W",125
"20080830","2200","L","MH","22.4N","83.1W",135
"20080901","1500","L","HU","29.2N","90.7W",90
"20080902","0","L","HU","21.8N","72.3W",75
"20080903","1900","L","TS","21.7N","71.8W",50
"20080906","700","L","TS","33.8N","78.7W",60
"20080907","1300","L","MH","21.0N","73.2W",110
"20080908","200","L","MH","21.1N","75.7W",115
"20080909","1400","L","HU","22.6N","82.9W",70
"20080913","700","L","HU","29.3N","94.7W",95
"20080929","0","L","HU","43.8N","66.2W",65
"20081007","1200","L","TS","19.9N","96.5W",55
"20081015","1230","L","TD","15.9N","84.5W",25
"20081109","100","L","HU","20.7N","78.0W",85
"20090824","300","L","TS","46.9N","56.0W",60
"20090817","530","L","TS","30.4N","86.5W",40
"20090902","1830","L","TS","16.3N","61.3W",35
"20091105","1200","L","HU","12.9N","83.6W",70
"20100627","0","L","TS","17.5N","88.2W",55
"20100701","200","L","HU","24.2N","97.7W",95
"20100708","1400","L","TD","26.1N","97.1W",30
"20100722","2315","L","TS","23.0N","75.7W",35
"20100723","515","L","TS","23.7N","77.5W",40
"20100723","1430","L","TS","25.4N","80.2W",35
"20100904","1500","L","HU","44.3N","64.5W",65
"20100904","1900","L","TS","46.0N","62.7W",60
"20100907","200","L","TS","25.3N","97.4W",60
"20100921","1500","L","HU","46.6N","53.2W",75
"20100915","1245","L","TS","18.5N","87.8W",55
"20100917","1645","L","MH","19.3N","96.2W",100
"20100924","1900","L","TS","14.7N","83.3W",50
"20100925","1500","L","TS","16.5N","88.4W",35
"20101011","1200","L","TS","15.0N","83.2W",45
"20101014","1500","L","TS","22.7N","83.9W",55
"20101025","30","L","HU","17.2N","88.3W",85
"20101030","900","L","TS","13.0N","59.5W",60
"20101030","2000","L","HU","13.4N","61.2W",85
"20101106","730","L","TS","21.7N","71.6W",60
"20110630","1300","L","TS","21.6N","97.4W",55
"20110730","230","L","TD","27.3N","97.4W",30
"20110820","1730","L","TS","17.0N","88.3W",55
"20110822","200","L","TS","18.7N","95.2W",35
"20110821","2300","L","TS","17.8N","64.6W",60
"20110822","525","L","TS","18.1N","65.8W",60
"20110824","1600","L","MH","22.4N","74.0W",100
"20110825","0","L","HU","23.5N","75.1W",95
"20110825","900","L","HU","24.7N","76.2W",90
"20110825","1800","L","HU","26.5N","77.2W",90
"20110827","1200","L","HU","34.7N","76.6W",75
"20110828","935","L","TS","39.4N","74.4W",60
"20110828","1300","L","TS","40.6N","74.0W",55
"20110904","1030","L","SS","29.6N","92.1W",40
"20110916","1830","L","TS","47.0N","53.5W",60
"20110911","1600","L","TS","20.5N","97.0W",40
"20111028","200","L","TS","20.5N","87.2W",50
"20120528","410","L","TS","30.2N","81.4W",55
"20120626","2100","L","TS","29.3N","83.2W",35
"20120808","100","L","HU","18.7N","87.2W",80
"20120808","315","L","HU","18.8N","87.7W",85
"20120809","1615","L","TS","18.3N","94.6W",55
"20120818","1200","L","TD","21.9N","97.7W",30
"20120820","530","L","HU","37.0N","25.1W",65
"20120825","600","L","TS","18.3N","72.7W",55
"20120825","1500","L","TS","20.1N","74.5W",50
"20120829","0","L","HU","28.9N","89.4W",70
"20120829","800","L","HU","29.2N","90.2W",70
"20121024","1900","L","HU","17.9N","76.6W",75
"20121025","525","L","MH","20.0N","76.0W",100
"20121029","2330","L","EX","39.4N","74.4W",70
"20130606","2200","L","TS","29.5N","83.4W",50
"20130617","2200","L","TD","16.5N","88.4W",30
"20130620","1115","L","TS","19.6N","96.4W",40
"20130826","445","L","TS","19.5N","96.3W",50
"20130906","1800","L","TD","22.3N","97.9W",30
"20130916","1115","L","TS","23.7N","97.7W",55
"20140704","315","L","HU","34.7N","76.6W",85
"20140704","800","L","HU","35.8N","75.5W",85
"20140803","1400","L","TS","21.8N","71.9W",40
"20140903","400","L","TS","22.0N","97.7W",40
"20141012","810","L","HU","32.3N","64.7W",70
"20141013","1430","L","HU","17.1N","61.8W",65
"20141013","2245","L","HU","18.1N","63.0W",75
"20141013","2315","L","HU","18.2N","63.1W",75
"20141018","30","L","HU","32.3N","64.8W",95
"20141027","1600","L","TS","14.9N","83.3W",35
"20150510","1000","L","TS","33.8N","78.8W",40
"20150616","1645","L","TS","28.2N","96.7W",50
"20151001","1200","L","MH","23.1N","73.7W",115
"20151002","1600","L","MH","23.6N","74.8W",110
"20151002","2100","L","MH","24.1N","74.5W",110
"20160115","1315","L","TS","38.7N","27.1W",55
"20160529","1230","L","TD","32.8N","79.8W",30
"20160607","200","L","TS","29.8N","83.6W",45
"20160620","2200","L","TS","21.2N","97.4W",35
"20160804","400","L","HU","17.4N","87.8W",75
"20160804","600","L","HU","17.4N","88.3W",75
"20160806","230","L","TS","19.0N","96.0W",50
"20160902","530","L","HU","30.1N","84.1W",70
"20160913","600","L","TD","27.3N","80.2W",30
"20161004","1100","L","MH","18.3N","74.3W",130
"20161005","0","L","MH","20.1N","74.3W",115
"20161007","0","L","MH","26.7N","79.0W",115
"20161008","1500","L","HU","33.0N","79.5W",75
"20161124","1730","L","MH","11.0N","83.8W",100
"20170620","200","L","TS","10.1N","61.1W",45
"20170620","900","L","TS","10.6N","62.6W",45
"20170622","700","L","TS","29.8N","93.7W",45
"20170731","1445","L","TS","27.5N","82.7W",50
"20170808","345","L","TS","19.1N","87.6W",50
"20170810","500","L","HU","20.0N","96.6W",70
"20170818","1000","L","TS","13.1N","59.6W",40
"20170818","1500","L","TS","13.2N","61.2W",40
"20170826","300","L","MH","28.0N","96.9W",115
"20170826","600","L","MH","28.2N","97.1W",105
"20170830","800","L","TS","29.8N","93.5W",40
"20170906","545","L","MH","17.7N","61.8W",155
"20170906","1115","L","MH","18.1N","63.1W",155
"20170906","1630","L","MH","18.5N","64.4W",155
"20170908","500","L","MH","21.5N","73.0W",135
"20170909","300","L","MH","22.3N","77.9W",145
"20170910","1300","L","MH","24.7N","81.5W",115
"20170910","1930","L","MH","25.9N","81.7W",100
"20170909","300","L","HU","20.6N","97.1W",65
"20170919","115","L","MH","15.4N","61.3W",145
"20170920","1015","L","MH","18.0N","65.9W",135
"20171005","1200","L","TS","13.9N","83.5W",35
"20171008","0","L","HU","29.1N","89.2W",75
"20171008","520","L","HU","30.4N","89.0W",65
"20171016","1100","L","EX","51.9N","10.4W",65
"20171028","2200","L","TS","22.2N","81.6W",35
"20180528","2100","L","TS","30.3N","86.0W",40
"20180914","1115","L","HU","34.2N","77.8W",80
"20180903","1115","L","TS","25.0N","80.5W",45
"20180903","1315","L","TS","25.2N","80.9W",45
"20180905","315","L","TS","30.4N","88.5W",60
"20180928","30","L","TS","13.8N","60.9W",45
"20181010","1730","L","MH","30.0N","85.5W",140
"20190713","1500","L","HU","29.6N","92.2W",65
"20190827","130","L","TS","13.1N","59.4W",45
"20190827","1100","L","TS","14.0N","60.9W",45
"20190828","1530","L","HU","17.8N","64.6W",65
"20190828","1800","L","HU","18.4N","65.1W",70
"20190901","1640","L","MH","26.5N","77.0W",160
"20190902","215","L","MH","26.6N","77.8W",155
"20190906","1230","L","HU","35.2N","75.6W",85
"20190904","1530","L","TS","24.2N","97.7W",40
"20190917","1745","L","TS","28.9N","95.4W",40
"20190924","2200","L","TS","18.1N","65.4W",40
"20190924","2300","L","TS","18.3N","65.3W",40
"20200527","1330","L","TS","32.9N","79.7W",45
"20200603","1300","L","TS","18.7N","92.1W",50
"20200607","2200","L","TS","29.3N","89.8W",45
"20200710","2000","L","TS","39.4N","74.4W",45
"20200725","1530","L","TD","10.5N","61.0W",30
"20200725","2200","L","HU","26.8N","97.3W",80
"20200725","2315","L","HU","26.7N","97.5W",80
"20200730","1615","L","TS","18.4N","69.3W",55
"20200731","900","L","HU","20.9N","73.4W",70
"20200801","1300","L","HU","24.4N","77.7W",70
"20200804","310","L","HU","33.9N","78.5W",80
"20200821","2030","L","TS","17.1N","61.8W",40
"20200821","2330","L","TS","17.1N","62.6W",40
"20200823","430","L","TS","18.4N","70.0W",45
"20200824","200","L","TS","20.0N","76.6W",55
"20200825","0","L","TS","22.3N","83.3W",55
"20200827","600","L","MH","29.8N","93.3W",130
"20200903","600","L","HU","16.8N","88.3W",65
"20200914","850","L","HU","32.3N","64.7W",85
"20200912","600","L","TD","25.6N","80.2W",30
"20200916","945","L","HU","30.3N","87.7W",95
"20200922","245","L","TS","28.4N","96.4W",45
"20200918","1840","L","SS","40.0N","8.9W",45
"20201003","1645","L","HU","20.2N","87.4W",65
"20201006","300","L","TD","21.6N","88.4W",30
"20201007","1030","L","HU","20.8N","86.9W",90
"20201009","2300","L","HU","29.8N","93.1W",85
"20201027","355","L","HU","20.4N","87.4W",75
"20201028","2100","L","MH","29.2N","90.6W",100
"20201103","2100","L","MH","13.8N","83.5W",120
"20201108","855","L","TS","21.5N","79.2W",55
"20201109","400","L","TS","24.9N","80.7W",55
"20201112","920","L","TS","29.2N","82.9W",45
"20201117","340","L","MH","13.6N","83.5W",125
"20210619","430","L","TS","29.2N","91.0W",40
"20210628","2320","L","TS","32.3N","80.5W",35
"20210705","1830","L","TS","22.2N","81.6W",55
"20210707","1430","L","TS","29.8N","83.5W",55
"20210709","1500","L","TS","40.9N","72.3W",50
"20210709","1630","L","TS","41.4N","71.7W",50
"20210811","1700","L","TS","18.4N","70.1W",40
"20210816","1900","L","TS","29.7N","85.4W",55
"20210816","1630","L","TS","17.7N","71.4W",35
"20210817","1400","L","TS","18.2N","76.6W",50
"20210819","945","L","HU","20.1N","87.5W",75
"20210821","530","L","MH","20.6N","97.1W",105
"20210822","1520","L","TS","41.2N","71.6W",55
"20210822","1615","L","TS","41.3N","71.8W",55
"20210827","1800","L","HU","21.5N","82.6W",70
"20210827","2325","L","HU","22.4N","83.2W",70
"20210829","1655","L","MH","29.1N","90.2W",130
"20210911","330","L","HU","47.3N","54.6W",70
"20210909","115","L","TS","29.7N","85.1W",50
"20210914","530","L","HU","28.7N","95.7W",65
"20220702","300","L","TS","11.0N","83.8W",50
"20220701","2330","L","TS","32.4N","80.5W",35
"20220916","2315","L","TS","16.4N","61.4W",50
"20220918","1920","L","HU","18.0N","67.1W",75
"20220919","730","L","HU","18.4N","68.5W",80
"20220920","1100","L","MH","21.4N","71.1W",100
"20220924","700","L","EX","45.2N","61.2W",85
"20220925","800","L","EX","51.3N","58.3W",45
"20220927","830","L","MH","22.2N","83.7W",110
"20220928","200","L","MH","24.6N","82.9W",110
"20220928","1905","L","MH","26.7N","82.2W",130
"20220928","2035","L","MH","26.8N","82.0W",125
"20220930","1805","L","HU","33.3N","79.2W",70
"20221007","300","L","TD","12.0N","69.8W",30
"20221007","830","L","TD","12.2N","71.2W",30
"20221009","715","L","HU","12.4N","83.6W",75
