"Advisory Date","Hours UTC","Record Identifier","Status of system","Latitude","Longitude","Maximum sustained wind"
"18871019","200","L","HU","29.1N","90.4W",75
"18871030","100","L","TS","28.1N","82.8W",40
"18880617","600","L","HU","28.7N","95.7W",70
"18880705","1600","L","TS","28.8N","95.6W",50
"18880816","1900","L","MH","25.8N","80.1W",110
"18880819","1600","L","HU","29.1N","90.7W",95
"18880908","0","L","TS","26.7N","80.1W",45
"18880926","1300","L","HU","41.6N","69.9W",70
"18881011","100","L","HU","29.2N","83.1W",95
"18881011","1600","L","TS","33.9N","78.1W",60
"18890617","1500","L","TS","29.1N","82.9W",45
"18890923","400","L","HU","29.1N","89.8W",70
"18890923","1300","L","TS","30.3N","87.7W",60
"18891005","2300","L","TS","24.7N","81.1W",35
"18891006","100","L","TS","25.2N","80.9W",40
"18900827","1600","L","TS","29.1N","90.9W",50
"18910705","2200","L","HU","28.8N","95.5W",80
"18910824","1500","L","HU","25.4N","80.2W",70
"18911007","800","L","TS","25.2N","81.3W",45
"18920610","2300","L","TS","25.7N","81.3W",40
"18920912","700","L","TS","29.0N","90.6W",50
"18921024","1900","L","TS","27.6N","82.8W",45
"18930615","2300","L","TS","29.9N","83.7W",60
"18930824","1200","L","HU","40.7N","73.9W",75
"18930828","500","L","MH","31.7N","81.1W",100
"18930907","1400","L","HU","29.2N","91.1W",85
"18931013","1300","L","MH","33.0N","79.5W",105
"18931002","800","L","MH","29.3N","89.8W",115
"18931002","1600","L","HU","30.3N","88.9W",95
"18931023","300","L","TS","35.2N","75.6W",50
"18931023","1100","L","TS","38.1N","75.6W",45
"18940807","1800","L","TS","30.3N","87.6W",50
"18940925","1100","L","HU","24.7N","82.0W",70
"18940925","1900","L","HU","26.5N","82.0W",90
"18940927","700","L","HU","32.3N","80.7W",80
"18940928","1200","L","TS","34.7N","76.7W",60
"18941009","300","L","MH","30.2N","85.5W",105
"18941010","1500","L","HU","40.7N","72.9W",75
"18950815","1900","L","TS","29.3N","89.6W",50
"18950816","1300","L","TS","30.2N","88.8W",45
"18951007","400","L","TS","29.3N","94.8W",35
"18951016","1300","L","TS","25.7N","81.3W",35
"18960707","1700","L","HU","30.4N","86.5W",85
"18960910","1300","L","HU","41.2N","70.6W",70
"18960929","1100","L","MH","29.2N","83.1W",110
"18961009","200","L","TS","26.4N","82.0W",50
"18970910","1800","L","TS","24.4N","81.9W",60
"18970913","500","L","HU","29.7N","93.8W",75
"18970921","200","L","TS","26.7N","82.3W",60
"18970923","1000","L","TS","35.2N","75.7W",60
"18970924","1100","L","TS","40.8N","72.7W",55
"18970924","1300","L","TS","41.3N","72.2W",45
"18971020","2000","L","TS","35.2N","75.5W",55
"18971025","2300","L","TS","36.1N","75.8W",55
"18980802","300","L","TS","27.1N","80.1W",35
"18980802","2300","L","HU","29.7N","84.8W",70
"18980831","700","L","HU","32.1N","80.8W",75
"18980920","1100","L","TS","29.6N","92.8W",50
"18980928","700","L","TS","29.4N","94.7W",50
"18981002","1600","L","MH","30.9N","81.4W",115
"18990627","900","L","TS","29.1N","95.1W",35
"18990730","1000","L","TS","24.9N","80.6W",40
"18990801","1700","L","HU","29.7N","84.7W",85
"18990818","100","L","MH","35.2N","75.8W",105
"18991005","1000","L","TS","27.9N","82.8W",50
"18991031","900","L","HU","33.6N","79.0W",95
"19000909","200","L","MH","29.1N","95.1W",120
"19000913","600","L","TS","29.1N","89.5W",40
"19000913","1500","L","TS","30.3N","88.8W",35
"19001012","300","L","TS","29.5N","83.3W",40
"19010613","2100","L","TS","29.9N","84.6W",35
"19010710","1000","L","TS","28.6N","96.0W",45
"19010711","700","L","HU","36.0N","75.8W",70
"19010712","2200","L","TS","34.0N","77.9W",35
"19010810","2200","L","TS","26.3N","80.1W",40
"19010814","2100","L","HU","29.3N","89.6W",75
"19010815","1700","L","HU","30.4N","88.8W",75
"19010917","2000","L","TS","30.4N","86.6W",50
"19010928","300","L","TS","29.9N","84.6W",40
"19020614","2300","L","TS","29.8N","83.7W",50
"19020626","2100","L","TS","27.7N","97.2W",60
"19021010","2100","L","TS","30.3N","87.3W",50
"19030911","2300","L","HU","26.1N","80.1W",75
"19030913","2300","L","HU","30.1N","85.6W",80
"19030916","1100","L","HU","39.1N","74.7W",70
"19040914","1300","L","HU","33.1N","79.2W",70
"19041017","800","L","HU","25.3N","80.3W",70
"19041020","1000","L","TS","25.5N","81.2W",35
"19041103","1200","L","TS","30.3N","86.7W",35
"19050929","1000","L","TS","29.6N","92.6W",45
"19051009","1700","L","TS","29.5N","91.4W",45
"19060612","2000","L","TS","30.1N","85.6W",45
"19060617","300","L","HU","24.7N","81.1W",70
"19060617","800","L","HU","25.2N","80.7W",75
"19060917","2200","L","HU","33.3N","79.2W",80
"19060927","1100","L","HU","30.2N","88.6W",95
"19061018","1000","L","MH","24.7N","81.1W",105
"19061018","1200","L","MH","25.3N","80.7W",105
"19061021","900","L","TS","30.0N","81.4W",50
"19070628","2300","L","TS","30.3N","85.9W",50
"19070921","1700","L","TS","30.4N","88.9W",40
"19070928","2000","L","TS","30.1N","85.7W",45
"19080529","2100","L","HU","35.2N","75.6W",65
"19080530","2300","L","TS","41.3N","72.0W",35
"19080731","1100","L","HU","34.6N","77.1W",70
"19080731","2200","L","TS","29.5N","91.9W",50
"19080901","800","L","TS","34.6N","76.6W",45
"19090629","1700","L","HU","26.1N","97.2W",85
"19090628","2000","L","TS","26.0N","80.1W",45
"19090630","1400","L","TS","30.1N","84.1W",35
"19090721","1700","L","MH","28.9N","95.3W",100
"19090829","900","L","TS","26.4N","80.1W",45
"19090921","0","L","MH","29.5N","91.3W",100
"19091011","1800","L","MH","24.7N","81.0W",100
"19100914","2200","L","HU","26.9N","97.4W",90
"19101018","600","L","HU","26.5N","82.0W",95
"19110811","2200","L","HU","30.3N","87.5W",70
"19110828","1000","L","HU","32.2N","80.7W",85
"19120613","500","L","TS","29.6N","91.6W",60
"19120715","1500","L","TS","31.3N","81.3W",45
"19120914","800","L","HU","30.3N","88.4W",65
"19121016","1800","L","HU","27.1N","97.4W",85
"19130628","100","L","HU","27.1N","97.4W",65
